date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:11	40476/40476	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:12%20GMT	https://www.hemstedt.de/en/products/hvac-and-building-appliances/low-energy-heating/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/products/hvac-and-building-appliances/low-energy-heating/index.html	(from https://www.hemstedt.de/en/)
09:31:11	5432/5432	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202022%2013:31:02%20GMT	https://www.hemstedt.de/fileadmin/_processed_/a/8/csm_1.Stamp_5bac725c38.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/a/8/csm_1.Stamp_5bac725c38.png	(from https://www.hemstedt.de/en/)
09:31:12	79030/79030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2016:11:23%20GMT	https://www.hemstedt.de/fileadmin/user_upload/csm_fussballer_mit_heizmatte_neu_2_00000_3a90f5033d.jpeg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/csm_fussballer_mit_heizmatte_neu_2_00000_3a90f5033d.jpg	(from https://www.hemstedt.de/en/)
09:31:12	7134/7134	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2015:57:44%20GMT	https://www.hemstedt.de/fileadmin/user_upload/csm_WIMA-Siegel_2022_frei_71ec48a419.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/csm_WIMA-Siegel_2022_frei_71ec48a419.png	(from https://www.hemstedt.de/en/)
09:31:12	49991/49991	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:13%20GMT	https://www.hemstedt.de/en/products/hvac-and-building-appliances/low-energy-heating/green-electric-matreg-low-energy-heater/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/products/hvac-and-building-appliances/low-energy-heating/green-electric-matreg-low-energy-heater/index.html	(from https://www.hemstedt.de/en/)
09:31:12	3569/3569	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:34%20GMT	https://www.hemstedt.de/fileadmin/_processed_/6/4/csm_Weinberg_1_ec3566788d.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/6/4/csm_Weinberg_1_ec3566788d.jpg	(from https://www.hemstedt.de/en/)
09:31:12	12508/12508	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2009:17:34%20GMT	https://www.hemstedt.de/fileadmin/_processed_/c/1/csm_Certificate_resources_SAVED_2020_a7f1b8e749.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/c/1/csm_Certificate_resources_SAVED_2020_a7f1b8e749.png	(from https://www.hemstedt.de/en/)
09:31:13	64971/64971	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20May%202022%2008:09:07%20GMT	https://www.hemstedt.de/fileadmin/_processed_/0/0/csm_Heizmatte_GreenAccu_mit_Karton_84bf03e33d.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/0/0/csm_Heizmatte_GreenAccu_mit_Karton_84bf03e33d.jpg	(from https://www.hemstedt.de/en/)
09:31:13	50040/50040	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:14%20GMT	https://www.hemstedt.de/en/products/hvac-and-building-appliances/low-energy-heating/green-accu-matreg-energy-storage-heater/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/products/hvac-and-building-appliances/low-energy-heating/green-accu-matreg-energy-storage-heater/index.html	(from https://www.hemstedt.de/en/)
09:31:13	446153/446153	---M--	200	added ('OK')	image/png	date:Thu,%2019%20May%202022%2013:03:53%20GMT	https://www.hemstedt.de/fileadmin/_processed_/f/c/csm_10102019_Hemstedt_Green_c2a0e31e27.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/f/c/csm_10102019_Hemstedt_Green_c2a0e31e27.png	(from https://www.hemstedt.de/en/)
09:31:13	17922/17922	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20May%202022%2008:07:40%20GMT	https://www.hemstedt.de/fileadmin/_processed_/3/d/csm_Kabel-blau_dynamisch_neu_1731c4c9ef.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/3/d/csm_Kabel-blau_dynamisch_neu_1731c4c9ef.jpg	(from https://www.hemstedt.de/en/)
09:31:13	47276/47276	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:14%20GMT	https://www.hemstedt.de/en/products/hvac-and-building-appliances/underfloor-heating/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/products/hvac-and-building-appliances/underfloor-heating/index.html	(from https://www.hemstedt.de/en/)
09:31:14	1317/1317	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2009:17:16%20GMT	https://www.hemstedt.de/fileadmin/files/social-icons/facebook.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/files/social-icons/facebook.png	(from https://www.hemstedt.de/en/)
09:31:14	1638/1638	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2009:17:16%20GMT	https://www.hemstedt.de/fileadmin/files/social-icons/twitter.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/files/social-icons/twitter.png	(from https://www.hemstedt.de/en/)
09:31:14	1503/1503	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2009:17:16%20GMT	https://www.hemstedt.de/fileadmin/files/social-icons/youtube.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/files/social-icons/youtube.png	(from https://www.hemstedt.de/en/)
09:31:14	36816/36816	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jun%202023%2012:21:06%20GMT	https://www.hemstedt.de/typo3conf/ext/wv_sitepackage/Resources/Public/JavaScript/Libs/bootstrap.min.js?1687263666	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/typo3conf/ext/wv_sitepackage/Resources/Public/JavaScript/Libs/bootstrap.minaa2e.js	(from https://www.hemstedt.de/en/)
09:31:14	47993/47993	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:15%20GMT	https://www.hemstedt.de/en/products/hvac-and-building-appliances/underfloor-heating/thin-bed-heating-mats/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/products/hvac-and-building-appliances/underfloor-heating/thin-bed-heating-mats/index.html	(from https://www.hemstedt.de/en/)
